X,Y,X,Y,id,OBJECTID,xcoord,ycoord
-117.893540266773,33.5984859323147,2009882.501939380075783,510930.260176962998230,"2",,2009882.501939380075783,510930.260176962998230
-117.893604747922,33.5986348010566,2009876.498770939884707,510946.767653953982517,"3",,2009876.498770939884707,510946.767653953982517
-117.893518368194,33.5987207180489,2009884.507161840097979,510956.306804098014254,"4",,2009884.507161840097979,510956.306804098014254
-117.893593199596,33.5983805093137,2009877.600644099991769,510918.560538296995219,"5",,2009877.600644099991769,510918.560538296995219
-117.893331351863,33.5990879399611,2009901.824331840034574,510997.060654138971586,"6",,2009901.824331840034574,510997.060654138971586
-117.893424089471,33.5989901821021,2009893.227197459898889,510986.207372270000633,"7",,2009893.227197459898889,510986.207372270000633
-117.893441436881,33.5991791190401,2009891.594654669985175,511007.164190140028950,"8",,2009891.594654669985175,511007.164190140028950
-117.893556770943,33.5985700949294,2009880.959995379904285,510939.594603179022670,"9",,2009880.959995379904285,510939.594603179022670
-117.893628093504,33.5984689939383,2009874.351103370077908,510928.372593716019765,"10",,2009874.351103370077908,510928.372593716019765
-117.893658938686,33.5985468882106,2009871.478649179916829,510937.010273801977746,"11",,2009871.478649179916829,510937.010273801977746
-117.893461716556,33.5989133461486,2009889.743386179907247,510977.680358416982926,"12",,2009889.743386179907247,510977.680358416982926
-117.893540707825,33.5983834645908,2009882.473035780014470,510918.893522863974795,"13",,2009882.473035780014470,510918.893522863974795
-117.89362258767,33.5985399450694,2009874.853872359963134,510936.243650775984861,"14",,2009874.853872359963134,510936.243650775984861
-117.893472959503,33.5986628358383,2009888.729175820015371,510949.890472713974304,"15",,2009888.729175820015371,510949.890472713974304
-117.893616089167,33.598430844554,2009875.469927130034193,510924.141911697981413,"16",,2009875.469927130034193,510924.141911697981413
-117.893597566702,33.5986749454073,2009877.160677789943293,510951.221519779006485,"17",,2009877.160677789943293,510951.221519779006485
-117.893352284104,33.5991452656132,2009899.874490089947358,511003.417651202995330,"18",,2009899.874490089947358,511003.417651202995330
-117.893482656733,33.5987994116293,2009887.812943669967353,510965.039691962010693,"19",,2009887.812943669967353,510965.039691962010693
-118.433984441038,33.9248462116193,1959870.276291480055079,547213.496754306950606,"0",,1959870.276291480055079,547213.496754306950606
-118.433958716398,33.9245116512476,1959872.494768979959190,547176.376110957004130,"1",,1959872.494768979959190,547176.376110957004130
-118.434053954503,33.9242950619076,1959863.584555750014260,547152.389438578044064,"2",,1959863.584555750014260,547152.389438578044064
-118.433653329828,33.9247568742294,1959900.850578859914094,547203.455060363048688,"3",,1959900.850578859914094,547203.455060363048688
-118.433765543941,33.9242133678428,1959890.214242110028863,547143.212579456041567,"4",,1959890.214242110028863,547143.212579456041567
-118.434386358136,33.9253889721307,1959833.372183009982109,547273.861800324986689,"5",,1959833.372183009982109,547273.861800324986689
-118.434351381493,33.925431108494,1959836.626562990015373,547278.521707259002142,"6",,1959836.626562990015373,547278.521707259002142
-118.433901310103,33.9241493947958,1959877.629552110098302,547136.170693579944782,"7",,1959877.629552110098302,547136.170693579944782
-118.434150702131,33.9253421852936,1959855.140157490037382,547268.577930815983564,"8",,1959855.140157490037382,547268.577930815983564
-118.434254279743,33.924459553419,1959845.139678149949759,547170.715306428959593,"9",,1959845.139678149949759,547170.715306428959593
-118.433850067558,33.9248981489335,1959882.726342719979584,547219.204148459946737,"10",,1959882.726342719979584,547219.204148459946737
-118.433735816178,33.9246753384207,1959893.184234180022031,547194.443789419950917,"11",,1959893.184234180022031,547194.443789419950917
-118.434063391923,33.9251553834648,1959863.123991329921409,547247.822483013966121,"12",,1959863.123991329921409,547247.822483013966121
-118.434208553734,33.9254587398402,1959849.846642320044339,547281.529593211016618,"13",,1959849.846642320044339,547281.529593211016618
-118.434463651463,33.9250673393537,1959826.070900490041822,547238.216283545014448,"14",,1959826.070900490041822,547238.216283545014448
-118.434228982217,33.9247908403518,1959847.637636810075492,547207.452475016005337,"15",,1959847.637636810075492,547207.452475016005337
-118.434088062576,33.9247323437793,1959860.640116509981453,547200.907588924979791,"16",,1959860.640116509981453,547200.907588924979791
-118.434424675926,33.9249766591173,1959829.631390729919076,547228.142201437964104,"17",,1959829.631390729919076,547228.142201437964104
-118.433747450939,33.924285183356,1959891.921644930029288,547151.171338099986315,"18",,1959891.921644930029288,547151.171338099986315
-118.434222092003,33.9251975206782,1959848.469630599953234,547252.559841832960956,"19",,1959848.469630599953234,547252.559841832960956
-118.40708025785,33.8713541455815,1962334.011284329928458,541269.577677948051132,"0",,1962334.011284329928458,541269.577677948051132
-118.404592745708,33.8669825017983,1962562.220657239900902,540783.730273728026077,"1",,1962562.220657239900902,540783.730273728026077
-118.405124036685,33.8672424107317,1962513.175699519924819,540812.758304224000312,"2",,1962513.175699519924819,540812.758304224000312
-118.406446106717,33.8715598628841,1962392.779451129958034,541292.159112413995899,"3",,1962392.779451129958034,541292.159112413995899
-118.404917938226,33.8680526766795,1962532.608302579959854,540902.559026562958024,"4",,1962532.608302579959854,540902.559026562958024
-118.406575739104,33.8710869352941,1962380.572837319923565,541239.748842747998424,"5",,1962380.572837319923565,541239.748842747998424
-118.407197557923,33.8718698943932,1962323.389654459897429,541326.830293372971937,"6",,1962323.389654459897429,541326.830293372971937
-118.404481961441,33.8664504812965,1962572.234219199977815,540724.675414582015947,"7",,1962572.234219199977815,540724.675414582015947
-118.406206010645,33.8705994646334,1962414.564176939893514,541185.538581595988944,"8",,1962414.564176939893514,541185.538581595988944
-118.40591541183,33.8702656545593,1962441.303034330019727,541148.402577057015151,"9",,1962441.303034330019727,541148.402577057015151
-118.404133743684,33.8663788894747,1962604.423610169906169,540716.604590957984328,"10",,1962604.423610169906169,540716.604590957984328
-118.406805193124,33.8714760620417,1962359.516840409953147,541282.998038385994732,"11",,1962359.516840409953147,541282.998038385994732
-118.406893395322,33.8712949446897,1962351.274470319971442,541262.940902950009331,"12",,1962351.274470319971442,541262.940902950009331
-118.406470207783,33.8714582094751,1962390.503867829916999,541280.892379292985424,"13",,1962390.503867829916999,541280.892379292985424
-118.404154317046,33.8665779899649,1962602.608710919972509,540738.697179196053185,"14",,1962602.608710919972509,540738.697179196053185
-118.405041509339,33.8686303436912,1962521.432432109955698,540966.681957970024087,"15",,1962521.432432109955698,540966.681957970024087
-118.407175175546,33.8724785880561,1962325.734114839928225,541394.340320748975500,"16",,1962325.734114839928225,541394.340320748975500
-118.404855959416,33.8675072524877,1962538.099540790077299,540842.035545727005228,"17",,1962538.099540790077299,540842.035545727005228
-118.40714344749,33.8730991088281,1962328.948565720114857,541463.158745883964002,"18",,1962328.948565720114857,541463.158745883964002
-118.404733339832,33.8663061951004,1962548.909206059994176,540708.764307699981146,"19",,1962548.909206059994176,540708.764307699981146
-118.444183749283,33.9454401385963,1958937.266072439961135,549501.949537965003401,"0",,1958937.266072439961135,549501.949537965003401
-118.444742673673,33.9461985915971,1958885.968672419898212,549586.307554531027563,"1",,1958885.968672419898212,549586.307554531027563
-118.444653481573,33.9463807547931,1958894.303326480090618,549606.477082379977219,"2",,1958894.303326480090618,549606.477082379977219
-118.444731934949,33.9458890278235,1958886.809476220048964,549551.965558622032404,"3",,1958886.809476220048964,549551.965558622032404
-118.44452415694,33.9451307547077,1958905.645396590000018,549467.771000621025451,"4",,1958905.645396590000018,549467.771000621025451
-118.444785013087,33.9455910599112,1958881.756453460082412,549518.935908091953024,"5",,1958881.756453460082412,549518.935908091953024
-118.444565857316,33.9456907365117,1958902.065122989937663,549529.902663756976835,"6",,1958902.065122989937663,549529.902663756976835
-118.44530011995,33.9461743201156,1958834.424218310043216,549583.843453124980442,"7",,1958834.424218310043216,549583.843453124980442
-118.445126709975,33.9454253342732,1958850.087013500044122,549500.693028109963052,"8",,1958850.087013500044122,549500.693028109963052
-118.444199671526,33.9452515389491,1958935.701695129973814,549481.036086878972128,"9",,1958935.701695129973814,549481.036086878972128
-118.445125215387,33.945557112516,1958850.289910939987749,549515.309595537954010,"10",,1958850.289910939987749,549515.309595537954010
-118.444379695572,33.945178737909,1958919.023674669908360,549473.034369542961940,"11",,1958919.023674669908360,549473.034369542961940
-118.445276040316,33.9456073051958,1958836.371617909986526,549520.938851080951281,"12",,1958836.371617909986526,549520.938851080951281
-118.445302091144,33.9458180336838,1958834.066912790061906,549544.324061256949790,"13",,1958834.066912790061906,549544.324061256949790
-118.445089284164,33.9460070785052,1958853.832569420104846,549565.206262308056466,"14",,1958853.832569420104846,549565.206262308056466
-118.445149913601,33.9458540593749,1958848.152564449934289,549548.257810257957317,"15",,1958848.152564449934289,549548.257810257957317
-118.444671792358,33.9459858940449,1958892.416847649961710,549562.685609415057115,"16",,1958892.416847649961710,549562.685609415057115
-118.444918753894,33.9461432221688,1958869.663938570069149,549580.237872108002193,"17",,1958869.663938570069149,549580.237872108002193
-118.444719932777,33.9457446652708,1958887.848160719964653,549535.947586633032188,"18",,1958887.848160719964653,549535.947586633032188
-118.444376438753,33.9454659742957,1958919.465607279911637,549504.894033659016714,"19",,1958919.465607279911637,549504.894033659016714
-118.511716139942,34.020549440331,1952736.672772849909961,557862.901369140017778,"0",,1952736.672772849909961,557862.901369140017778
-118.511462396985,34.0206267568582,1952760.152515480061993,557871.358163270051591,"1",,1952760.152515480061993,557871.358163270051591
-118.513015059474,34.0216609364762,1952617.331741210073233,557986.801852326025255,"2",,1952617.331741210073233,557986.801852326025255
-118.511111236514,34.0203572136735,1952792.434198929928243,557841.295014805044048,"3",,1952792.434198929928243,557841.295014805044048
-118.510563856718,34.0203396196144,1952842.981275530066341,557839.086514538968913,"4",,1952842.981275530066341,557839.086514538968913
-118.512658067408,34.0216426083514,1952650.293289389926940,557984.600642977980897,"5",,1952650.293289389926940,557984.600642977980897
-118.510924722137,34.0208023116982,1952809.911958290031180,557890.578434827970341,"6",,1952809.911958290031180,557890.578434827970341
-118.511674038007,34.0213649346436,1952741.021838580025360,557953.337529834941961,"7",,1952741.021838580025360,557953.337529834941961
-118.511537087795,34.020231025656,1952753.030571989947930,557827.498117615003139,"8",,1952753.030571989947930,557827.498117615003139
-118.512007164747,34.0208912001141,1952709.986356019973755,557900.946800071047619,"9",,1952709.986356019973755,557900.946800071047619
-118.512164491521,34.0211461655387,1952695.599566539982334,557929.302007809048519,"10",,1952695.599566539982334,557929.302007809048519
-118.511553655256,34.0209532870215,1952751.908093539997935,557907.620313416002318,"11",,1952751.908093539997935,557907.620313416002318
-118.512598404736,34.0218558281466,1952655.924367510015145,558008.223224272951484,"12",,1952655.924367510015145,558008.223224272951484
-118.510668083328,34.0204271450852,1952833.404038530075923,557848.843885470996611,"13",,1952833.404038530075923,557848.843885470996611
-118.512649639473,34.0221206596271,1952651.342140119988471,558037.622893005958758,"14",,1952651.342140119988471,558037.622893005958758
-118.510838418927,34.0197144988711,1952817.269812880083919,557769.875941958976910,"15",,1952817.269812880083919,557769.875941958976910
-118.512246194688,34.0218211975709,1952688.434964610030875,558004.216108512948267,"16",,1952688.434964610030875,558004.216108512948267
-118.511390833311,34.0210232743067,1952766.986011780099943,557915.306894551962614,"17",,1952766.986011780099943,557915.306894551962614
-118.51242765086,34.0210809487568,1952671.257045689970255,557922.191934271017089,"18",,1952671.257045689970255,557922.191934271017089
-118.511567462639,34.0210703385439,1952750.698906499892473,557920.610349072027020,"19",,1952750.698906499892473,557920.610349072027020
-118.433937940799,33.9241357054471,1959874.235818240093067,547134.666854767943732,"0",,1959874.235818240093067,547134.666854767943732
-118.433804471943,33.9244336848078,1959886.720107720000669,547167.666289584944025,"1",,1959886.720107720000669,547167.666289584944025
-118.433737002594,33.9245618848111,1959893.020225320011377,547181.859670459991321,"2",,1959893.020225320011377,547181.859670459991321
-118.434271752023,33.9251520041928,1959843.855896919965744,547247.530863940017298,"3",,1959843.855896919965744,547247.530863940017298
-118.434103223693,33.9241914367238,1959858.979083620011806,547140.914716906961985,"4",,1959858.979083620011806,547140.914716906961985
-118.434376248066,33.9250305772548,1959834.135234409943223,547234.103599446942098,"5",,1959834.135234409943223,547234.103599446942098
-118.434062632931,33.924936775404,1959863.089459579903632,547223.573562416015193,"6",,1959863.089459579903632,547223.573562416015193
-118.43436527953,33.9250721857068,1959835.169410140020773,547238.714542355039157,"7",,1959835.169410140020773,547238.714542355039157
-118.434277596604,33.9247289040044,1959843.112698710057884,547200.601742572034709,"8",,1959843.112698710057884,547200.601742572034709
-118.433542922989,33.9243020278504,1959910.842027449980378,547152.958185481023975,"9",,1959910.842027449980378,547152.958185481023975
-118.434387041904,33.9246999522579,1959832.978668590076268,547197.434063188964501,"10",,1959832.978668590076268,547197.434063188964501
-118.434234250197,33.9247437369924,1959847.127947819884866,547202.229742916999385,"11",,1959847.127947819884866,547202.229742916999385
-118.433737636089,33.9243365443876,1959892.853789719985798,547156.864531554980204,"12",,1959892.853789719985798,547156.864531554980204
-118.434322162688,33.9252951166492,1959839.263155840104446,547263.425437523983419,"13",,1959839.263155840104446,547263.425437523983419
-118.434122810812,33.9246046842916,1959857.365870619891211,547186.761117634945549,"14",,1959857.365870619891211,547186.761117634945549
-118.434356910226,33.9251830360428,1959835.996430459897965,547251.007027224986814,"15",,1959835.996430459897965,547251.007027224986814
-118.433687515359,33.9246372636513,1959897.632279200013727,547190.201158048002981,"16",,1959897.632279200013727,547190.201158048002981
-118.433941412689,33.9249582560549,1959874.308671599952504,547225.907859183032997,"17",,1959874.308671599952504,547225.907859183032997
-118.433831517275,33.9243169951621,1959884.163415239891037,547154.733540153014474,"18",,1959884.163415239891037,547154.733540153014474
-118.434253339054,33.9250033960209,1959845.487277860054746,547231.039474281948060,"19",,1959845.487277860054746,547231.039474281948060
-118.407144005918,33.8726772054037,1962328.707336730090901,541416.359964295057580,"0",,1962328.707336730090901,541416.359964295057580
-118.407444354823,33.8734959330094,1962301.285614470019937,541507.288671577000059,"1",,1962301.285614470019937,541507.288671577000059
-118.407234642033,33.8725698714471,1962320.272974909981713,541404.488081365008838,"2",,1962320.272974909981713,541404.488081365008838
-118.407462475275,33.8735689989254,1962299.641886269906536,541515.400191921973601,"3",,1962299.641886269906536,541515.400191921973601
-118.407090405136,33.8726274623874,1962333.644414040027186,541410.822209315025248,"4",,1962333.644414040027186,541410.822209315025248
-118.407186047876,33.8725138263636,1962324.743981939973310,541398.253151235054247,"5",,1962324.743981939973310,541398.253151235054247
-118.407179956082,33.8723078998237,1962325.215096839936450,541375.408780972007662,"6",,1962325.215096839936450,541375.408780972007662
-118.40765367837,33.8728946980675,1962281.647625549929217,541440.676137099042535,"7",,1962281.647625549929217,541440.676137099042535
-118.407000548331,33.8724217347047,1962341.866038569947705,541387.968512317980640,"8",,1962341.866038569947705,541387.968512317980640
-118.40729425989,33.8732558807196,1962315.065149670001119,541480.604958086041734,"9",,1962315.065149670001119,541480.604958086041734
-118.407350587206,33.8732457457373,1962309.848932720022276,541479.501869988976978,"10",,1962309.848932720022276,541479.501869988976978
-118.407715430356,33.8727379079494,1962275.863480200059712,541423.307607603026554,"11",,1962275.863480200059712,541423.307607603026554
-118.407211078033,33.8724378109325,1962322.393897519912571,541389.830637663952075,"12",,1962322.393897519912571,541389.830637663952075
-118.40711361405,33.872429811895,1962331.408205549931154,541388.906827728962526,"13",,1962331.408205549931154,541388.906827728962526
-118.407512699483,33.8729094149351,1962294.698311520041898,541442.255690698046237,"14",,1962294.698311520041898,541442.255690698046237
-118.407342445337,33.8724668264709,1962310.252117790048942,541393.098391423001885,"15",,1962310.252117790048942,541393.098391423001885
-118.407371780011,33.8727549049385,1962307.667419679928571,541425.064054350019433,"16",,1962307.667419679928571,541425.064054350019433
-118.407009361816,33.8731249820392,1962341.366430080030113,541465.978448627050966,"17",,1962341.366430080030113,541465.978448627050966
-118.407273573016,33.8724527122568,1962316.618216559989378,541391.506971638998948,"18",,1962316.618216559989378,541391.506971638998948
-118.407517967404,33.8726701613418,1962294.103302330011502,541415.718828676966950,"19",,1962294.103302330011502,541415.718828676966950
-117.724554224201,33.4802147694017,2025605.155018100049347,497840.283927299024072,"0",,2025605.155018100049347,497840.283927299024072
-117.723676432262,33.4784327108441,2025687.296890110010281,497642.822312612028327,"1",,2025687.296890110010281,497642.822312612028327
-117.725593159569,33.4820294460698,2025508.027346200076863,498041.323639373003971,"2",,2025508.027346200076863,498041.323639373003971
-117.723301755712,33.4781140564144,2025722.224390639923513,497607.569457857985981,"3",,2025722.224390639923513,497607.569457857985981
-117.725720004164,33.4817649153403,2025496.316359650110826,498011.946808736014646,"4",,2025496.316359650110826,498011.946808736014646
-117.724610564971,33.4805766364973,2025599.807671899907291,497880.411854705016594,"5",,2025599.807671899907291,497880.411854705016594
-117.724862002521,33.4808673785011,2025576.346173240104690,497912.600145779026207,"6",,2025576.346173240104690,497912.600145779026207
-117.723567680948,33.4783164532717,2025697.441955399932340,497629.953535848006140,"7",,2025697.441955399932340,497629.953535848006140
-117.725725973541,33.4825208549509,2025495.532647789921612,498095.802399958018214,"8",,2025495.532647789921612,498095.802399958018214
-117.724441465736,33.4804519758065,2025615.564765739953145,497866.626200066995807,"9",,2025615.564765739953145,497866.626200066995807
-117.724149089802,33.4798164677262,2025642.937054790090770,497796.203199760988355,"10",,2025642.937054790090770,497796.203199760988355
-117.725654628559,33.4820456612553,2025502.308480160078034,498043.106808313983493,"11",,2025502.308480160078034,498043.106808313983493
-117.724042991634,33.47962659553,2025652.857678209897131,497775.167556816013530,"12",,2025652.857678209897131,497775.167556816013530
-117.723493345773,33.4784467030152,2025704.312468420015648,497644.421282397001050,"13",,2025704.312468420015648,497644.421282397001050
-117.725418173065,33.4816829770991,2025524.398511129897088,498002.933922623982653,"14",,2025524.398511129897088,498002.933922623982653
-117.723866664805,33.4796517148123,2025669.241256400011480,497777.999078953987919,"15",,2025669.241256400011480,497777.999078953987919
-117.723935682663,33.4796355570846,2025662.830323579953983,497776.189062768011354,"16",,2025662.830323579953983,497776.189062768011354
-117.72422513559,33.4802290619435,2025635.742329119937494,497841.953293735976331,"17",,2025635.742329119937494,497841.953293735976331
-117.724369186907,33.4805410507667,2025622.256599730113521,497876.525795830995776,"18",,2025622.256599730113521,497876.525795830995776
-117.723654733141,33.4783344980762,2025689.344008259940892,497631.933013202971779,"19",,2025689.344008259940892,497631.933013202971779
-117.854014327678,33.5803204347672,2013554.561652709962800,508919.790328458999284,"0",,2013554.561652709962800,508919.790328458999284
-117.856399207383,33.5815941204437,2013332.927273730048910,509060.760044325026684,"1",,2013332.927273730048910,509060.760044325026684
-117.855367338622,33.5813085959042,2013428.778876570053399,509029.224456919997465,"2",,2013428.778876570053399,509029.224456919997465
-117.855534436024,33.581504714236,2013413.233046469977126,509050.957355662016198,"3",,2013413.233046469977126,509050.957355662016198
-117.855868484133,33.5816170431685,2013382.199746009893715,509063.373366299027111,"4",,2013382.199746009893715,509063.373366299027111
-117.854053615345,33.5800906782412,2013550.950857009971514,508894.298365278984420,"5",,2013550.950857009971514,508894.298365278984420
-117.855080335556,33.5809837452479,2013455.478324820054695,508993.227479169028811,"6",,2013455.478324820054695,508993.227479169028811
-117.856217401896,33.5817046536427,2013349.789848190033808,509073.045511273026932,"7",,2013349.789848190033808,509073.045511273026932
-117.855624073568,33.581654490208,2013404.886587040033191,509067.559895536978729,"8",,2013404.886587040033191,509067.559895536978729
-117.857153281789,33.5822512860553,2013262.810047969920561,509133.558999587025028,"9",,2013262.810047969920561,509133.558999587025028
-117.857666014078,33.5823565336111,2013215.188177169999108,509145.166471978998743,"10",,2013215.188177169999108,509145.166471978998743
-117.854081198289,33.580367944537,2013548.345165430102497,508925.051525125978515,"11",,2013548.345165430102497,508925.051525125978515
-117.854442802444,33.5803150994719,2013514.779266200028360,508919.140794923994690,"12",,2013514.779266200028360,508919.140794923994690
-117.858069578904,33.5824818729894,2013177.699057010002434,509159.017258743988350,"13",,2013177.699057010002434,509159.017258743988350
-117.855972148656,33.5814633955085,2013372.599219399970025,509046.315589680976700,"14",,2013372.599219399970025,509046.315589680976700
-117.855650957793,33.5812346111257,2013402.457353830104694,509020.979545900016092,"15",,2013402.457353830104694,509020.979545900016092
-117.854937092597,33.5807153045392,2013468.821090020006523,508963.468802415998653,"16",,2013468.821090020006523,508963.468802415998653
-117.85696651936,33.581964799834,2013280.195485800039023,509101.804033035994507,"17",,2013280.195485800039023,509101.804033035994507
-117.854241241365,33.5804242487904,2013533.476355759892613,508931.275740634009708,"18",,2013533.476355759892613,508931.275740634009708
-117.857573621478,33.5826455917066,2013223.721051099942997,509177.243541511998046,"19",,2013223.721051099942997,509177.243541511998046
-117.8937732193,33.5981857213534,2009860.912497540004551,510896.935288464999758,"0",,2009860.912497540004551,510896.935288464999758
-117.885485837598,33.5956100381875,2010630.545997529989108,510612.062787385017145,"1",,2010630.545997529989108,510612.062787385017145
-117.88807982465,33.595933929873,2010389.701828520046547,510647.720454490976408,"2",,2010389.701828520046547,510647.720454490976408
-117.896352120263,33.5987054839769,2009621.456656940048561,510954.341954128991347,"3",,2009621.456656940048561,510954.341954128991347
-117.888913883053,33.5965919035665,2010312.194423340028152,510720.622753013973124,"4",,2010312.194423340028152,510720.622753013973124
-117.892646847844,33.5973745051796,2009965.568359940079972,510807.059213394997641,"5",,2009965.568359940079972,510807.059213394997641
-117.890527422462,33.5965581393455,2010162.412679309956729,510716.712997330003418,"6",,2010162.412679309956729,510716.712997330003418
-117.895769332855,33.5987633524157,2009675.549146499950439,510960.817165407002904,"7",,2009675.549146499950439,510960.817165407002904
-117.893063890115,33.5977325146409,2009926.812186959898099,510846.731474829022773,"8",,2009926.812186959898099,510846.731474829022773
-117.888061233487,33.5962275458127,2010391.391399249900132,510680.292821158014704,"9",,2010391.391399249900132,510680.292821158014704
-117.889195089451,33.5959804778542,2010286.164633079897612,510652.769260799977928,"10",,2010286.164633079897612,510652.769260799977928
-117.893753025462,33.5982646207582,2009862.777816959889606,510905.689477948006243,"11",,2009862.777816959889606,510905.689477948006243
-117.897494247423,33.6003106537926,2009515.253386470023543,511132.292594549013302,"12",,2009515.253386470023543,511132.292594549013302
-117.895517092759,33.5985181077677,2009698.992419709917158,510933.636807014991064,"13",,2009698.992419709917158,510933.636807014991064
-117.888797153514,33.59663109939,2010323.025685660075396,510724.982677528983913,"14",,2010323.025685660075396,510724.982677528983913
-117.89181664478,33.5978062945574,2010042.584338149987161,510855.039678864995949,"15",,2010042.584338149987161,510855.039678864995949
-117.887070279769,33.5955085707526,2010483.472222649957985,510600.640722604992334,"16",,2010483.472222649957985,510600.640722604992334
-117.897185560176,33.5989075530361,2009544.066944610094652,510976.677754140982870,"17",,2009544.066944610094652,510976.677754140982870
-117.888358708837,33.5956959479553,2010363.841962180100381,510621.292629590025172,"18",,2010363.841962180100381,510621.292629590025172
-117.893324027349,33.5984396560829,2009902.580570440040901,510925.148096652992535,"19",,2009902.580570440040901,510925.148096652992535
-117.963539567226,33.6316084934226,2003383.236661949893460,514599.873767107026652,"0",,2003383.236661949893460,514599.873767107026652
-117.966591355435,33.633359320431,2003099.990574730094522,514793.991207393992227,"1",,2003099.990574730094522,514793.991207393992227
-117.968326681908,33.6348745603977,2002938.916546150110662,514962.021676048985682,"2",,2002938.916546150110662,514962.021676048985682
-117.962589706145,33.6319973499451,2003471.360118180047721,514643.041262211976573,"3",,2003471.360118180047721,514643.041262211976573
-117.963927905807,33.6328187526317,2003347.153769539901987,514734.112488451995887,"4",,2003347.153769539901987,514734.112488451995887
-117.964997220211,33.6336400389729,2003247.899649349972606,514825.181104496004991,"5",,2003247.899649349972606,514825.181104496004991
-117.963823242567,33.6317988153707,2003356.906261069932953,514620.976305130985565,"6",,2003356.906261069932953,514620.976305130985565
-117.963885793758,33.6318621083299,2003351.099501480115578,514627.995184451981913,"7",,2003351.099501480115578,514627.995184451981913
-117.962594657063,33.6315646964658,2003470.918574529932812,514595.047670856001787,"8",,2003470.918574529932812,514595.047670856001787
-117.966286423666,33.6332441606286,2003128.289499429985881,514781.226201854995452,"9",,2003128.289499429985881,514781.226201854995452
-117.963880750947,33.632972607079,2003351.523167710052803,514751.180835117003880,"10",,2003351.523167710052803,514751.180835117003880
-117.963832313671,33.6319373537429,2003356.059007490053773,514636.343797895999160,"11",,2003356.059007490053773,514636.343797895999160
-117.96782628414,33.6354501097492,2002985.327217859914526,515025.880971056001727,"12",,2002985.327217859914526,515025.880971056001727
-117.967767768468,33.6339014172237,2002990.811844330048189,514854.089303780987393,"13",,2002990.811844330048189,514854.089303780987393
-117.965878063316,33.6345181127117,2003166.133364469977096,514922.555998012016062,"14",,2003166.133364469977096,514922.555998012016062
-117.964563868446,33.6334618531219,2003288.117223560111597,514805.429385024996009,"15",,2003288.117223560111597,514805.429385024996009
-117.967487050959,33.6340121581082,2003016.855500279925764,514866.381962109997403,"16",,2003016.855500279925764,514866.381962109997403
-117.96560850092,33.632981500139,2003191.204053289955482,514752.111094629974104,"17",,2003191.204053289955482,514752.111094629974104
-117.964062777996,33.6327754327287,2003334.640607400098816,514729.302612774015870,"18",,2003334.640607400098816,514729.302612774015870
-117.964795252063,33.6324153983165,2003266.687803959939629,514689.340639406000264,"19",,2003266.687803959939629,514689.340639406000264
